Name: my floor 		Data x:909  y:2200000  z:800		 Date: 2024-10-20		14:38:23		 ID: 6715037a0efe5032cc0a682b
Name: my floor 		Data x:909  y:2200000  z:800		 Date: 2024-10-20		14:38:23		 ID: 6715037a0efe5032cc0a682b
Name: my floor 		Data x:909  y:2200000  z:800		 Date: 2024-10-20		14:38:23		 ID: 6715037a0efe5032cc0a682b
Name: my floor 		Data x:909  y:2200000  z:800		 Date: 2024-10-20		14:38:23		 ID: 6715037a0efe5032cc0a682b
Name: my floor 		Data x:909  y:2200000  z:800		 Date: 2024-10-20		14:38:23		 ID: 6715037a0efe5032cc0a682b
Name: my floor 		Data x:909  y:2200000  z:800		 Date: 2024-10-20		14:38:23		 ID: 6715037a0efe5032cc0a682b
Name: my floor 		Data x:909  y:2200000  z:800		 Date: 2024-10-20		14:38:24		 ID: 6715037a0efe5032cc0a682b
Name: my floor 		Data x:909  y:2200000  z:800		 Date: 2024-10-20		14:38:24		 ID: 6715037a0efe5032cc0a682b
Name: my floor 		Data x:909  y:2200000  z:800		 Date: 2024-10-20		14:38:24		 ID: 6715037a0efe5032cc0a682b
Name: my floor 		Data x:909  y:2200000  z:800		 Date: 2024-10-20		14:38:24		 ID: 6715037a0efe5032cc0a682b
Name: my floor 		Data x:909  y:2200000  z:800		 Date: 2024-10-20		14:38:24		 ID: 6715037a0efe5032cc0a682b
Name: my floor 		Data x:909  y:2200000  z:800		 Date: 2024-10-20		14:38:24		 ID: 6715037a0efe5032cc0a682b
Name: my floor 		Data x:909  y:2200000  z:800		 Date: 2024-10-20		14:43:30		 ID: 6715037a0efe5032cc0a682b
Name: my floor 		Data x:909  y:2200000  z:800		 Date: 2024-10-20		14:43:33		 ID: 6715037a0efe5032cc0a682b
